Bussiness__City,Bussiness__Country,Bussiness__Description,Bussiness__Name,Bussiness__StreetAddress,Bussiness__Zipcode,Customer__Address__line1,Customer__Address__line2,Customer__Email,Customer__Name,Customer__PhoneNumber,Invoice__BillDetails__Name,Invoice__BillDetails__Quantity,Invoice__BillDetails__Rate,Invoice__Description,Invoice__DueDate,Invoice__IssueDate,Invoice__Number,Invoice__Tax
"3741 Glory Road, Jamestown","LC06MUMG950845915714802673973600
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, LC06MUMG950845915714802673973600
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, LC06MUMG950845915714802673973600
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, LC06MUMG950845915714802673973600
Tennessee, USA Issue date
38556 12",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",AD5161758975IFWXVY4BVSKQ,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,AD5161758975IFWXVY4BVSKQ,
"3741 Glory Road, Jamestown","AL2991271759WVVHALZ3QB8SKQ77
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, AL2991271759WVVHALZ3QB8SKQ77
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, AL2991271759WVVHALZ3QB8SKQ77
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, AL2991271759WVVHALZ3QB8SKQ77
Tennessee, USA Issue date
38556 12",Don_Zulauf40@hotmail.co,,110-825-4839,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",EE533529837740994322,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,EE533529837740994322,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",BI82759440166167,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Darlene.Bosco@gmail.com,,964-775-2409,,,,,,38556,BI82759440166167,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",HU74909696370147167357339840,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Don_Zulauf40@hotmail.co,,110-825-4839,,,,,,38556,HU74909696370147167357339840,
"3741 Glory Road, Jamestown","CY2923418932RVYFTMK4T0H70BQC
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, CY2923418932RVYFTMK4T0H70BQC
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, CY2923418932RVYFTMK4T0H70BQC
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, CY2923418932RVYFTMK4T0H70BQC
Tennessee, USA Issue date
38556 12",Jill.Schowalter@gmail.com,,222-254-5978,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",NL90RAIU1648063002,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Jill.Schowalter@gmail.com,,222-254-5978,,,,,,38556,NL90RAIU1648063002,
"3741 Glory Road, Jamestown","JO41DLXC7278T0N8BGLP3E2N2E9QRA
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, JO41DLXC7278T0N8BGLP3E2N2E9QRA
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, JO41DLXC7278T0N8BGLP3E2N2E9QRA
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, JO41DLXC7278T0N8BGLP3E2N2E9QRA
Tennessee, USA Issue date
38556 12",Garry_Hegmann59@hotma,,750-257-9345,,,,,,38556,3741,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",DE86387936551412938756,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Don_Zulauf40@hotmail.co,,110-825-4839,,,,,,38556,DE86387936551412938756,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",CF6849796816456201375055059,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,CF6849796816456201375055059,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",GE83LC9789411561310423,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Kerry_Bergnaum@yahoo.c,,189-052-5595,,,,,,38556,GE83LC9789411561310423,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",MA96717498474793251525053290,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,MA96717498474793251525053290,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",SA9471DQ240HGM77EBE28NYK,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Richard_Rodriguez@hotm,,402-261-8314,,,,,,38556,SA9471DQ240HGM77EBE28NYK,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",EG311713689605750227316143805,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Willis_Koelpin4@yahoo.co,,783-402-5895,,,,,,38556,EG311713689605750227316143805,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",HN94PHZK52468079611398617196,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,HN94PHZK52468079611398617196,
3741 Glory Road,Jamestown,Invoice,"2023
NearBy Electronics","3741 Glory Road, Jamestown, Invoice",CG4125256047356140683317976,"3741 Glory Road, Jamestown, Invoice","3741 Glory Road, Jamestown, Invoice",Candace3@yahoo.com,,633-008-6596,,,,,,38556,CG4125256047356140683317976,
"3741 Glory Road, Jamestown","QA39HMGN884U0EL22RSY34IAZ6T6W
Tennessee","USA Issue date
38556 12","2023
NearBy Electronics","3741 Glory Road, Jamestown, QA39HMGN884U0EL22RSY34IAZ6T6W
Tennessee, USA Issue date
38556 12",3741,"3741 Glory Road, Jamestown, QA39HMGN884U0EL22RSY34IAZ6T6W
Tennessee, USA Issue date
38556 12","3741 Glory Road, Jamestown, QA39HMGN884U0EL22RSY34IAZ6T6W
Tennessee, USA Issue date
38556 12",Jill.Schowalter@gmail.com,,222-254-5978,,,,,,38556,3741,
